# Generated by scripts/import-romance-lexicons.py; do not edit.
# Lexical pronunciation authority: Montreal Forced Aligner Portuguese dictionaries.
# Pinned mfa-models commit: d6eff86a42c6a90b641e17dfdf7a16555b934483.
# Sources: dictionary/portuguese/brazil_mfa/portuguese_brazil_mfa.dict, dictionary/portuguese/portugal_mfa/portuguese_portugal_mfa.dict.
# Source MFA phones are retained verbatim after NFC normalization.
# word	dialect-membership	mfa-phones
abalançarei	portugal	ɐ b ɐ l ɐ̃ s ɐ ɾ ɐ j
abalançaremos	portugal	ɐ b ɐ l ɐ̃ s a ɾ e m u ʃ
abalançaria	portugal	ɐ b ɐ l ɐ̃ s ɐ ɾ i ɐ
abalançasse	portugal	ɐ b ɐ l ɐ̃ s a s ɨ
abalançava	portugal	ɐ b ɐ l ɐ̃ s a v ɐ
abalanço	portugal	ɐ b ɐ l ɐ̃ s u
abalar	brazil	a b a l a x
abalar	portugal	ɐ b ɐ l a ɾ
abalara	portugal	ɐ b ɐ l a ɾ ɐ
abalaram	brazil	a b a l a ɾ ɐ̃ w̃
abalaram	portugal	ɐ b ɐ l a ɾ ɐ̃ w̃
abalarei	portugal	ɐ b ɐ l a ʁ e j
abalarem	portugal	ɐ b ɐ l a ɾ ɐ̃ j̃
abalaria	portugal	ɐ b ɐ l ɐ ɾ i ɐ
abalasse	portugal	ɐ b ɐ l a s ɨ
abalava	portugal	ɐ b ɐ l a v ɐ
abalavam	portugal	ɐ b ɐ l a v ɐ̃ w̃
abale	brazil	a b a ʎ i
abale	portugal	ɐ b ɐ l ɨ
abalei	portugal	ɐ b ɐ l e j
abalisada	portugal	ɐ b ɐ l i z a ð ɐ
abalizada	portugal	ɐ b ɐ l i z a d ɐ
abalizado	brazil	a b a ʎ i z a d u
abalizado	portugal	ɐ b ɐ l i z a d u
abalizados	portugal	ɐ b ɐ l i z a ð u ʃ
abalo	portugal	ɐ b ɐ l u
abalos	portugal	ɐ b ɐ l u ʃ
abalou	brazil	a b a l o w
abalou	portugal	ɐ b ɐ l o w
abalroe	portugal	ɐ b ɐ l ʁ i
abalá	brazil	a b a l a
abalá	portugal	ɐ b ɐ l a
abanam	brazil	a b ɐ n ɐ̃
abanam	portugal	ɐ b ɐ n ɐ̃ w̃
abanando	brazil	a b ɐ n ɐ̃ d u
abanando	portugal	ɐ b ɐ n ɐ̃ d u
abanar	portugal	ɐ b ɐ n a ɾ
abanava	portugal	ɐ b ɐ n a v ɐ
abanavam	portugal	ɐ b ɐ n a v ɐ̃ w̃
abancados	portugal	ɐ b ɐ̃ k ɐ ð u ʃ
abancando	portugal	ɐ b ɐ̃ k ɐ̃ d u
abancavam	portugal	ɐ b ɐ̃ k a v ɐ̃ w̃
abandona	brazil	a b ɐ̃ d o n a
abandona	portugal	ɐ β ɐ̃ d u n ɐ
abandonada	brazil	a b ɐ̃ d o n a d ɐ
abandonada	portugal	ɐ β ɐ̃ d u n a ð ɐ
abandonadas	brazil	a b ɐ̃ d o n a d ɐ s
abandonadas	portugal	ɐ β ɐ̃ d u n a ð ɐ ʃ
abandonado	brazil	a b ɐ̃ d o n a d u
abandonado	portugal	ɐ β ɐ̃ d u n a ð u
abandonados	portugal	ɐ β ɐ̃ d u n a ð u ʃ
abandonam	brazil	a b ɐ̃ d o n a ɐ̃ w̃
abandonam	portugal	ɐ β ɐ̃ d ɔ n ɐ̃ w̃
abandonamos	portugal	ɐ β ɐ̃ d u n a m u ʃ
abandonando	brazil	a b ɐ̃ d o n ɐ̃ d u
abandonando	portugal	ɐ β ɐ̃ d ɔ n ɐ̃ d u
abandonar	brazil	a b ɐ̃ d o n a x
abandonar	portugal	ɐ b ɐ̃ d u n a ɾ
abandonara	portugal	ɐ β ɐ̃ d u n a ɾ ɐ
abandonaram	portugal	ɐ β ɐ̃ d u n a ɾ ɐ̃ w̃
abandonarei	portugal	ɐ β ɐ̃ d u n ɐ ɾ ɐ j
abandonarem	portugal	ɐ β ɐ̃ d u n a ɾ ɐ̃ j̃
abandonaria	portugal	ɐ β ɐ̃ d u n ɐ ɾ i ɐ
abandonará	portugal	ɐ β ɐ̃ d u n ɐ ɾ a
abandonasse	portugal	ɐ β ɐ̃ d ɔ n a s ɨ
abandonassem	portugal	ɐ β ɐ̃ d ɔ n s ɐ̃ j̃
abandonasses	portugal	ɐ β ɐ̃ d ɔ n ɐ s ɨ ʃ
abandonaste	portugal	ɐ β ɐ̃ d u n ɐ ʃ t ɨ
abandonava	portugal	ɐ β ɐ̃ d u n a v ɐ
abandonavam	portugal	ɐ β ɐ̃ d u n a v ɐ̃ w̃
abandone	brazil	a b ɐ̃ d o ɲ i
abandone	portugal	ɐ β ɐ̃ d ɔ n ɨ
abandonei	portugal	ɐ β ɐ̃ d ɔ n e j
abandonemos	portugal	ɐ β ɐ̃ d ɔ n e m u ʃ
abandono	brazil	a b ɐ̃ d o n u
