# Generated by scripts/import-romance-lexicons.py; do not edit.
# Lexical pronunciation authority: Montreal Forced Aligner Portuguese dictionaries.
# Pinned mfa-models commit: d6eff86a42c6a90b641e17dfdf7a16555b934483.
# Sources: dictionary/portuguese/brazil_mfa/portuguese_brazil_mfa.dict, dictionary/portuguese/portugal_mfa/portuguese_portugal_mfa.dict.
# Source MFA phones are retained verbatim after NFC normalization.
# word	dialect-membership	mfa-phones
almoço	portugal	a l m o s u
almoço	portugal	a l m ɔ s u
almoços	portugal	a l m u s u ʃ
almoçou	brazil	a w m o s o w
almoçou	portugal	a l m u s o w
almoçámos	portugal	a l m u s a m u ʃ
almoção	brazil	a w m o s ɐ̃ w̃
almude	brazil	a w m u d i
almude	portugal	a l m u ð ɨ
almudes	portugal	a l m u ð ɨ ʃ
almíscar	portugal	a l m i ʃ k a ɾ
almóço	portugal	a l m ɔ s u
alocar	portugal	ɐ l u k a ɾ
alocação	brazil	a l o k a s ɐ̃ w̃
alocação	portugal	ɐ l u k ɐ s ɐ̃ w̃
alocução	portugal	a l ɔ k u s ɐ̃ w̃
aloendros	portugal	ɐ l w ẽ d ɾ u ʃ
aloisio	brazil	a l ɔ j i w
aloisio	portugal	ɐ l o j z j u
aloizio	brazil	a l ɔ j z i w
aloizio	portugal	ɐ l ɔ j z j u
alojamento	portugal	ɐ l ʒ ɐ m ẽ t u
alojamentos	portugal	ɐ l ʒ ɐ m ẽ t u ʃ
alonga	brazil	a l õ ɡ ɐ
alonga	portugal	ɐ l õ ɡ ɐ
alongada	portugal	ɐ l õ ɡ a d ɐ
alongadas	portugal	ɐ l õ ɡ a d ɐ ʃ
alongado	portugal	ɐ l õ ɡ a d u
alongados	portugal	ɐ l õ ɡ a ð u ʃ
alongam	portugal	ɐ l õ ɡ ɐ̃ w̃
alongamento	brazil	a l õ ɡ ɐ m ẽ t u
alongamento	portugal	ɐ l õ ɡ ɐ m ẽ t u
alongamentos	portugal	ɐ l õ ɡ ɐ m ẽ t u ʃ
alongando	portugal	ɐ l õ ɡ ɐ̃ d u
alongar	portugal	ɐ l õ ɡ a ɾ
alongara	portugal	ɐ l õ ɡ a ɾ ɐ
alongarem	portugal	ɐ l õ ɡ a ɾ ɐ̃ j̃
alongará	portugal	ɐ l õ ɡ ɐ ɾ a
alongava	portugal	ɐ l õ ɡ a v ɐ
alongavam	portugal	ɐ l õ ɡ a v ɐ̃ w̃
alongou	portugal	ɐ l õ ɡ o w
alongue	portugal	ɐ l õ ɡ ɨ
alonguei	portugal	ɐ l õ ɟ e j
alonguemos	portugal	ɐ l õ ɟ e m u ʃ
alonso	brazil	a l õ s u
alonso	portugal	ɐ l õ s u
alontando	portugal	ɐ l õ t ɐ̃ d u
alopatia	portugal	ɐ l ɔ p ɐ t i ɐ
alourada	portugal	ɐ l o w ɾ a ð ɐ
alouradas	portugal	ɐ l o w ɾ a d ɐ ʃ
alourado	portugal	ɐ l o w ɾ a ð u
alourados	portugal	ɐ l o w ɾ a ð u ʃ
alourecido	portugal	ɐ l o w ɾ ɨ s i ð u
aloândia	brazil	a l o ɐ̃ dʒ j ɐ
aloândia	portugal	ɐ l ɐ̃ d i ɐ
aloés	portugal	ɐ l w ɛ ʃ
aloísio	brazil	a l o i z j u
aloísio	brazil	a l u i z j u
alpaca	portugal	a l p a k ɐ
alpedrinha	portugal	a l p ɛ ð ɾ i ɲ ɐ
alpendre	brazil	a w p ẽ d ɾ i
alpendre	portugal	a l p ẽ d ɾ ɨ
alpendres	brazil	a w p ẽ d ɾ i s
alpendres	portugal	a l p ẽ d ɾ ɨ ʃ
alpercata	brazil	a w p ɛ ɾ k a t ɐ
alpercata	portugal	a l p ɛ ɾ k a t ɐ
alpercatas	portugal	a l p ɛ ɾ k ɐ t ɐ ʃ
alperce	portugal	a l p ɛ ɾ s ɨ
alperces	portugal	a l p ɛ ɾ s ɨ ʃ
alperche	portugal	a l p ɛ ɾ ʃ ɨ
alpes	portugal	a l p ɛ ʃ
alpestre	brazil+portugal	a l p ɛ ʃ t ɾ i
alpestres	portugal	a l p ɛ ʃ t ɾ i s
alpha	portugal	a l p ɐ
alphabetica	portugal	a l p ɐ β ɨ t i k ɐ
alphabeto	portugal	a l p ɐ β ɛ t u
alpiarça	portugal	ɐ l p i a ɾ s ɐ
alpinas	portugal	a l p i n ɐ ʃ
alpinismo	portugal	a l p i n i ʒ m u
alpinista	portugal	a l p i n i ʃ t ɐ
alpinistas	brazil	a w p i ɲ i s t ɐ s
alpinistas	portugal	a l p i n i ʃ t ɐ ʃ
alpinópolis	brazil	a w p i n ɔ p o ʎ i s
alpinópolis	portugal	a l p i n ɔ p u l i ʃ
alpiste	portugal	a l p i ʃ t ɨ
alpondras	portugal	a l p õ d ɾ ɐ ʃ
alquebrada	portugal	a l k ɨ β ɾ a ð ɐ
alquebradas	portugal	a l c ɛ b ɾ a d ɐ ʃ
alquebrado	portugal	a l k ɨ β ɾ a ð u
alquebrados	portugal	a l k ɨ β ɾ ɐ ð u ʃ
alquebramento	portugal	a l c ɛ b ɾ ɐ m ẽ t u
alquebre	portugal	a l c ɛ b ɾ ɨ
alqueire	portugal	a l k ɐ j ɾ ɨ
alqueires	portugal	a l k ɐ j ɾ ɨ ʃ
alquer	portugal	a l c ɛ ɾ
alquimia	brazil	a w c i m i a
alquimia	portugal	a l k ɨ m i ɐ
alquimista	brazil	a w c i m i ʃ t ɐ
alquimista	portugal	a l c i m i ʃ t ɐ
alquimistas	brazil	a w c i m i s t ɐ s
alquimistas	portugal	a l c i m i ʃ t ɐ ʃ
alraoçatés	portugal	ɐ l ɾ a ɔ s ɐ t ɛ ʃ
alsaciano	brazil	a w s a s j ɐ n u
alsaciano	portugal	a l s ɐ s j ɐ n u
alsácia	brazil	a w s a s j ɐ
alsácia	portugal	a l s a s j ɐ
alta	brazil	a w t ɐ
alta	portugal	a l t ɐ
altair	brazil	a w t a i x
altair	portugal	a l t ɐ i ɾ
altamente	brazil	a w t ɐ m ẽ tʃ i
altamente	portugal	a l t ɐ m ẽ t ɨ
altamira	brazil	a w t ɐ m i ɾ ɐ
altamira	portugal	a l t ɐ m i ɾ ɐ
altanados	portugal	a l t ɐ n a ð u ʃ
altaneira	brazil	a w t ɐ n e j ɾ ɐ
altaneira	portugal	a l t ɐ n ɐ j ɾ ɐ
altaneiras	portugal	a l t ɐ n ɐ j ɾ ɐ ʃ
altaneiro	portugal	a l t ɐ n ɐ j ɾ u
altaneiros	portugal	a l t ɐ n ɐ j ɾ u ʃ
altaneria	portugal	a l t ɐ n ɨ ɾ i ɐ
altania	portugal	a l t ɐ n j ɐ
altar	brazil	a w t a x
altar	portugal	a l t a ɾ
altareiro	portugal	a l t ɐ ɾ ɐ j ɾ u
altares	portugal	a l t a ɾ ɨ ʃ
altas	brazil	a w t ɐ s
altas	portugal	a l t ɐ ʃ
alteada	portugal	a l t j a ð ɐ
alteamento	portugal	a l t j ɐ m ẽ t u
alteando	portugal	a l t j ɐ̃ d u
altear	brazil	a w t e a ɾ
altear	portugal	a l t j a ɾ
alteava	portugal	a l t j a v ɐ
alteavam	portugal	a l t j a v ɐ̃ w̃
alteia	portugal	a l t ɐ j ɐ
alteiam	portugal	a l t ɛ j ɐ̃ w̃
alteiem	portugal	a l t ɐ j ɐ̃ j̃
altemira	brazil	a w t e m i ɾ ɐ
altemira	portugal	a l t e m i ɾ ɐ
alteou	portugal	a l t j o w
alter	portugal	a l t ɛ ɾ
altera	brazil+portugal	a l t ɛ ɾ a
alterada	brazil	a w t e ɾ a d ɐ
alterada	portugal	a l t ɛ ɾ a ð ɐ
alteradas	brazil	a w t e ɾ a d ɐ s
alteradas	portugal	a l t ɛ ɾ a d ɐ ʃ
alterado	brazil	a w t e ɾ a d u
alterado	portugal	a l t ɛ ɾ a ð u
alterados	brazil	a w t e ɾ a d u s
alterados	portugal	a l t ɛ ɾ a ð u ʃ
alteram	brazil	a w t e ɾ ɐ̃ w̃
alteram	portugal	a l t ɛ ɾ ɐ̃ w̃
alterando	brazil	a w t e ɾ ɐ̃ d u
alterando	portugal	a l t ɨ ɾ ɐ̃ d u
alterar	brazil	a w t e ɾ a x
alterar	portugal	a l t ɛ ɾ a ɾ
alterara	portugal	a l t ɛ ɾ a ɾ ɐ
alteraram	portugal	a l t ɛ ɾ a ɾ ɐ̃ w̃
alterarem	brazil	a w t e ɾ a ɾ ẽ j̃
alterarão	brazil	a w t e ɾ a ɾ ɐ̃ w̃
alterava	portugal	a l t ɛ ɾ a v ɐ
alteração	brazil	a w t e ɾ a s ɐ̃ w̃
alteração	portugal	a l t ɨ ɾ ɐ s ɐ̃ w̃
alterações	brazil	a w t e ɾ a s õ j̃ s
alterações	portugal	a l t ɨ ɾ ɐ s õ j̃ ʃ
altercando	portugal	a l t ɨ ɾ k ɐ̃ d u
altercaram	portugal	a l t ɨ ɾ k a ɾ ɐ̃ w̃
altercava	portugal	a l t ɨ ɾ k a v ɐ
altercavam	portugal	a l t ɨ ɾ k a v ɐ̃ w̃
altercação	portugal	a l t ɨ ɾ k ɐ s ɐ̃ w̃
altere	brazil	a l t ɛ ɾ i
altere	portugal	a l t ɨ ɾ ɨ
alteres	portugal	a l t ɛ ɾ ɨ ʃ
alteridade	brazil	a w t e ɾ i d a dʒ i
alteridade	portugal	a l t ɨ ɾ i ð a ð ɨ
alternada	brazil	a w t e ɾ n a d ɐ
alternada	portugal	a l t ɨ ɾ n a ð ɐ
alternadamente	portugal	a l t ɨ ɾ n a ð ɐ m ẽ t ɨ
alternadas	portugal	a l t ɨ ɾ n a d ɐ ʃ
alternado	portugal	a l t ɨ ɾ n a ð u
alternados	portugal	a l t ɨ ɾ n a ð u ʃ
alternam	brazil	a w t e ɾ n ɐ̃
alternam	portugal	a l t ɨ ɾ n ɐ̃ w̃
alternando	portugal	a l t ɨ ɾ n ɐ̃ d u
alternar	portugal	a l t ɨ ɾ n a ɾ
alternarem	portugal	a l t ɨ ɾ n a ɾ ɐ̃ j̃
alternativa	brazil	a w t e x n a tʃ i v ɐ
alternativa	portugal	a l t ɨ ɾ n ɐ t i v ɐ
alternativamente	portugal	a l t ɨ ɾ n ɐ t i v ɐ m ẽ t ɨ
alternativas	brazil	a w t e ɾ n a tʃ i v ɐ s
alternativas	portugal	a l t ɨ ɾ n ɐ t i v ɐ ʃ
alternativo	brazil	a w t e ɾ n a tʃ i v u
alternativo	portugal	a l t ɨ ɾ n ɐ t i v u
alternativos	portugal	a l t ɨ ɾ n ɐ t i v u ʃ
alternava	portugal	a l t ɨ ɾ n a v ɐ
alternavam	portugal	a l t ɨ ɾ n a v ɐ̃ w̃
alternação	portugal	a l t ɨ ɾ n ɐ s ɐ̃ w̃
alternos	portugal	a l t ɨ ɾ n u ʃ
alterosas	portugal	a l t ɨ ɾ ɔ z ɐ ʃ
alterou	brazil	a w t e ɾ o w
alterou	portugal	a l t ɨ ɾ o w
altevir	brazil	a w t e v i x
altevir	portugal	a l t e v i ɾ
alteza	portugal	a l t e z ɐ
altim	portugal	a l t ĩ
altina	brazil	a w tʃ i n ɐ
altina	portugal	a l t i n ɐ
altinho	brazil	a w tʃ ĩ j̃ u
altinho	portugal	a l t i ɲ u
altino	brazil	a w tʃ i n u
altino	portugal	a l t i n u
altiplano	portugal	a l t i p l ɐ n u
altissonante	portugal	a l t i s u n ɐ̃ t ɨ
altitude	portugal	a l t i t u ð ɨ
altitudes	portugal	a l t i t u ð ɨ ʃ
altiva	portugal	a l t i v ɐ
altivamente	portugal	a l t i v ɐ m ẽ t ɨ
altivas	portugal	a l t i v ɐ ʃ
altivez	portugal	a l t i v e ʃ
altivo	portugal	a l t i v u
altivos	portugal	a l t i v u ʃ
alto	brazil	a w t u
alto	portugal	a l t u
altona	portugal	a l t o n ɐ
altos	brazil	a w t u s
altos	portugal	a l t u ʃ
altruísmo	portugal	a l t ɾ u i ʒ m u
altruísta	brazil	a w t ɾ u i s t ɐ
altruísta	portugal	a l t ɾ u i ʃ t ɐ
altruístas	brazil	a w t ɾ u i s t ɐ s
altruístas	portugal	a l t ɾ u i ʃ t ɐ ʃ
altruístico	portugal	a l t ɾ u i ʃ t i k u
altschool	portugal	a l t s ʃ w ɔ l
altura	brazil	a w t u ɾ ɐ
altura	portugal	a l t u ɾ ɐ
alturas	portugal	a l t u ɾ ɐ ʃ
altíssima	brazil	a w tʃ i s i m ɐ
altíssima	portugal	a l t i s i m ɐ
altíssimas	portugal	a l t i s i m ɐ ʃ
altíssimo	portugal	a l t i s i m u
altônia	brazil	a w t o ɲ a
altônia	brazil	a w t o ɲ i ɐ
altônia	brazil	a w t o ɲ ɐ
altônia	portugal	a l t o n j ɐ
aluado	brazil	a l w a d u
aluado	portugal	ɐ l w a ð u
alucianada	portugal	ɐ l u s i ɐ n a ð ɐ
alucina	portugal	ɐ l u s i n ɐ
alucinadas	portugal	ɐ l u s i n a d ɐ ʃ
alucinado	portugal	ɐ l u s i n a ð u
alucinadora	portugal	ɐ l u s i n ɐ ð o ɾ ɐ
alucinados	portugal	ɐ l u s i n a ð u ʃ
alucinar	portugal	ɐ l u s i n a ɾ
alucinatórias	portugal	ɐ l u s i n a t ɔ ɾ j ɐ ʃ
alucinação	portugal	ɐ l u s i n ɐ s ɐ̃ w̃
alucinações	brazil	a l u s ĩ n a s õ j̃ s
alucinações	portugal	ɐ l u s i n ɐ s õ j̃ ʃ
alude	brazil	a l u dʒ i
alude	portugal	ɐ l u ð ɨ
aludi	portugal	ɐ l u ð i
aludia	portugal	ɐ l u ð i ɐ
aludiam	portugal	ɐ l u ð i ɐ̃ w̃
aludindo	portugal	ɐ l u dʒ ĩ d u
aludir	portugal	ɐ l u ð i ɾ
aludira	portugal	ɐ l u ð i ɾ ɐ
aludisse	portugal	ɐ l u ð i s ɨ
aludiu	portugal	ɐ l u ð i w
aludo	portugal	ɐ l u ð u
aluga	portugal	ɐ l u ɣ ɐ
alugada	portugal	ɐ l u ɣ a ð ɐ
alugadas	brazil	a l u ɡ a d ɐ s
alugadas	portugal	ɐ l u ɣ a ð ɐ ʃ
alugado	brazil	a l u ɡ a d u
alugado	portugal	ɐ l u ɣ a ð u
alugador	portugal	ɐ l u ɣ a ð o ɾ
alugados	portugal	ɐ l u ɣ a ð u ʃ
alugam	portugal	ɐ l u ɣ ɐ̃ w̃
alugando	portugal	ɐ l u ɣ ɐ̃ d u
alugar	portugal	ɐ l u ɡ a ɾ
alugara	portugal	ɐ l u ɡ a ɾ ɐ
alugaram	brazil	a l u ɡ a ɾ ɐ̃ w̃
alugaram	portugal	ɐ l u ɡ a ɾ ɐ̃ w̃
alugaremos	brazil	a l u ɡ a ɾ e m u s
alugaremos	portugal	ɐ l u ɡ a ɾ e m u ʃ
alugassem	portugal	ɐ l u ɡ a s ɐ̃ j̃
alugava	portugal	ɐ l u ɣ a v ɐ
alugavam	portugal	ɐ l u ɡ a v ɐ̃ w̃
alugo	brazil	a l u ɡ u
alugo	portugal	ɐ l u ɡ u
alugou	brazil	a l u ɡ o w
alugou	portugal	ɐ l u ɡ o w
alugue	brazil	a l w ɟ i
alugue	portugal	ɐ l u ɡ ɨ
aluguei	brazil	a l w ɟ e j
aluguei	portugal	ɐ l u ɟ e j
aluguel	brazil	a l w ɟ ɛ w
aluguel	portugal	ɐ l u ɟ ɛ l
aluguer	portugal	ɐ l u ɟ ɛ ɾ
aluguéis	brazil	a l w ɟ ẽ j̃ s
aluguéis	portugal	ɐ l u ɟ ɛ j ʃ
alugá	portugal	ɐ l u ɡ a a
alui	portugal	ɐ l u i
aluido	portugal	ɐ l w i ð u
aluir	portugal	ɐ l u i ɾ
aluiu	portugal	ɐ l u i w
alumbramento	portugal	a l ũ b ɾ a m ẽ t u
alumia	portugal	ɐ l u m j a
alumiada	portugal	ɐ l u m j a ð ɐ
alumiadas	portugal	ɐ l u m j a ð ɐ ʃ
alumiado	portugal	ɐ l u m j a ð u
alumiados	portugal	ɐ l u m j a ð u ʃ
alumiando	portugal	ɐ l u m j ɐ̃ d u
alumiar	portugal	ɐ l u m j a ɾ
alumiasse	portugal	ɐ l u m j a s ɨ
alumiava	portugal	ɐ l u m j a v ɐ
alumiavam	portugal	ɐ l u m j a v ɐ̃ w̃
alumie	portugal	ɐ l u m j ɨ
alumiou	portugal	ɐ l u m j o w
alumna	portugal	ɐ l u m n ɐ
alumnos	portugal	ɐ l u m n u ʃ
alumínico	portugal	ɐ l u m i n i k u
alumínio	brazil	a l u m i ɲ u
alumínio	portugal	ɐ l u m i n j u
aluna	brazil	a l ũ n ɐ
aluna	portugal	ɐ l u n ɐ
alunas	brazil	a l ũ n ɐ s
alunas	brazil	a l ũ n ɐ ʃ
alunas	portugal	ɐ l u n ɐ ʃ
aluno	brazil	a l u n u
aluno	portugal	ɐ l u n u
alunos	brazil	a l u n u s
alunos	portugal	ɐ l u n u ʃ
aluswiss	brazil	a l u s w i s
alusão	brazil	a l u z ɐ̃ w̃
alusão	portugal	ɐ l u z ɐ̃ w̃
alusões	portugal	ɐ l u z õ j̃ ʃ
aluvial	portugal	ɐ l u v j a l
aluviano	portugal	ɐ l u v j ɐ n u
aluvianos	portugal	ɐ l u v j ɐ n u ʃ
aluvião	portugal	ɐ l u v j ɐ̃ w̃
aluá	portugal	ɐ l u a
aluíram	portugal	ɐ l w i ɾ ɐ̃ w̃
aluísio	portugal	ɐ l u i z j u
aluízio	brazil	a l w i a z i w
aluízio	portugal	ɐ l w i z j u
alva	brazil	a w v a
alva	brazil	a w v ɐ
alva	portugal	a l v ɐ
alvacenta	brazil	a w v a s ẽ t a
alvacenta	portugal	a l v a s ẽ t ɐ
alvacentas	portugal	a l v a s ẽ t ɐ ʃ
alvacento	brazil	a w v a s ẽ t u
alvadia	portugal	a l v ɐ ð i ɐ
alvadias	portugal	a l v ɐ ð j ɐ ʃ
alvadios	portugal	a l v ɐ ð j u ʃ
alvaiade	portugal	a l v ɐ j a ð ɨ
alvaiado	portugal	a l v ɐ j a d u
alvaiázere	portugal	a l v ɐ j a z ɨ ɾ ɨ
alvanir	brazil	a w v ɐ ɲ i x
alvanir	portugal	a l v ɐ n i ɾ
alvar	portugal	a l v a ɾ
alvarenga	brazil	a w v a ɾ ẽ ɡ ɐ
alvarenga	portugal	a l v ɐ ɾ ẽ ɡ ɐ
alvarengas	portugal	a l v ɐ ɾ ẽ ɡ ɐ ʃ
alvares	brazil	a w v a ɾ i s
alvares	portugal	a l v a ɾ ɨ ʃ
alvaro	brazil	a w v a ɾ u
alvaro	portugal	a l v ɐ ɾ u
alvará	portugal	a l v ɐ ɾ a
alvarás	portugal	a l v ɐ ɾ a ʃ
alvarães	brazil	a w v ɐ̃ j̃ s
alvarães	portugal	a l v a ɾ ɐ̃ j̃ ʃ
alvas	portugal	a l v ɐ ʃ
alvedrio	portugal	a l v e d ɾ i u
alveitar	portugal	a l v e j t a ɾ
alveme	portugal	a l v ɨ m ɨ
alvenaria	portugal	a l v ɨ n ɐ ɾ i ɐ
alvenarias	portugal	a l v ɨ n ɐ ɾ j ɐ ʃ
alveneis	portugal	a l v ɨ n ɐ j ʃ
alverne	portugal	a l v ɨ ɾ n ɨ
alves	brazil	a w v i s
alves	portugal	a l v ɨ ʃ
alvez	portugal	a l v e ʃ
alvin	brazil	a w v ĩ
alvin	portugal	a l v i n
alvina	brazil	a w v i n ɐ
alvina	portugal	a l v i n ɐ
alvinlândia	brazil	a w v ĩ l ɐ̃ dʒ j ɐ
alvinlândia	portugal	a l v ĩ l ɐ̃ d i ɐ
alvino	brazil	a w v i n u
alvino	portugal	a l v i n u
alvissareiro	portugal	a l v i s ɐ ɾ ɐ j ɾ u
alvissareiros	portugal	a l v i s ɐ ɾ ɐ j ɾ u ʃ
alvito	portugal	ɐ l v i t u
alvitrar	portugal	ɐ l v i t ɾ a ɾ
alvitre	portugal	ɐ l v i t ɾ ɨ
alvitres	portugal	ɐ l v i t ɾ ɨ ʃ
alvião	portugal	a l v j ɐ̃ w̃
alviçareiras	portugal	a l v i s a ɾ ɐ j ɾ ɐ ʃ
alviçareiros	portugal	a l v i s a ɾ ɐ j ɾ u ʃ
alviões	portugal	a l v j õ j̃ ʃ
alvo	brazil	a w v u
alvo	portugal	a l v u
alvor	portugal	a l v o ɾ
alvorada	brazil	a w v o ɾ a d a
alvorada	portugal	a l v u ɾ a ð ɐ
alvoradas	portugal	a l v u ɾ a d ɐ ʃ
alvoral	portugal	a l v u ɾ a l
alvorar	portugal	a l v u ɾ a ɾ
alvorece	portugal	a l v u ɾ ɨ s ɨ
alvorecem	portugal	a l v u ɾ ɨ s ɐ̃ j̃
alvorecer	brazil	a w v o ɾ e s e x
alvorecer	portugal	a l v u ɾ ɨ s e ɾ
alvoreceu	portugal	a l v u ɾ ɨ s e w
alvorecia	portugal	a l v u ɾ ɨ s i ɐ
alvoreciam	portugal	a l v u ɾ ɨ s i ɐ̃ w̃
alvores	portugal	a l v u ɾ ɨ ʃ
alvoriçando	portugal	a l v u ɾ i s ɐ̃ d u
alvorota	portugal	a l v u ɾ ɔ t ɐ
alvorotado	portugal	a l v u ɾ ɔ t a ð u
alvorotados	portugal	a l v u ɾ ɔ t a ð u ʃ
alvorotando	brazil	a w v o ɾ o t ɐ̃ d u
alvorotar	brazil	a w v o ɾ o t a x
alvorou	portugal	a l v u ɾ o w
alvoroçada	portugal	a l v u ɾ ɔ s a ð ɐ
alvoroçado	portugal	a l v u ɾ ɔ s a ð u
alvoroçados	portugal	a l v u ɾ ɔ s a ð u ʃ
alvoroçando	portugal	a l v u ɾ ɔ s ɐ̃ d u
alvoroçar	brazil	a w v o ɾ o s a x
alvoroçar	portugal	a l v u ɾ ɔ s a ɾ
alvoroço	brazil	a w v o ɾ o s u
alvoroço	brazil	a w v o ɾ ɔ s u
alvoroço	portugal	a l v u ɾ o s u
alvoroço	portugal	a l v u ɾ ɔ s u
alvoroços	portugal	a l v u ɾ ɔ s u ʃ
alvoroçou	portugal	a l v u ɾ o s o w
alvorqtos	portugal	a l v u ɾ k t u ʃ
alvorôço	portugal	a l v u ɾ o s u
alvos	brazil	a w v u s
alvos	portugal	a l v u ʃ
alvura	portugal	a l v u ɾ ɐ
alvuras	portugal	a l v u ɾ ɐ ʃ
alvéolo	portugal	a l v ɛ u l u
alvíssaras	portugal	a l v i s ɐ ɾ ɐ ʃ
alvíssima	portugal	a l v i s i m ɐ
alvíssimas	portugal	a l v i s i m ɐ ʃ
alvíssimo	portugal	a l v i s i m u
alysson	brazil	a l s õ
alysson	portugal	ɐ l a j s õ
alzenir	brazil	a w z e ɲ i x
alzenir	portugal	a l z e n i ɾ
alzenira	brazil	a w z e ɲ i ɾ ɐ
alzenira	portugal	a l z e n i ɾ ɐ
alzerina	brazil	a w z i ɾ i n ɐ
alzerina	portugal	a l z ɨ ɾ i n ɐ
alzheimer	portugal	a l z ɐ j m e ɾ
alzira	brazil	a w z i ɾ ɐ
alzira	portugal	a l z i ɾ ɐ
alá	brazil	a l a
alá	portugal	ɐ l a
alão	portugal	ɐ l ɐ̃ w̃
alça	brazil	a w s ɐ
alça	portugal	a l s ɐ
alçada	portugal	a l s a ð ɐ
alçadas	portugal	a l s a ð ɐ ʃ
alçado	portugal	a l s a ð u
alçados	portugal	a l s a ð u ʃ
alçando	portugal	a l s ɐ̃ d u
alçar	portugal	a l s a ɾ
alçaria	brazil	a w s a ɾ i ɐ
alças	brazil	a w s ɐ s
alças	portugal	a l s ɐ ʃ
alçassem	portugal	a l s ɐ̃ j̃
alçava	portugal	a l s a v ɐ
alçavam	portugal	a l s a v ɐ̃ w̃
alçou	portugal	a l s o w
alçára	portugal	a l s a ɾ ɐ
aléia	portugal	ɐ l ɛ j ɐ
além	brazil	a l ẽ j̃
além	portugal	a l ɐ̃ j̃
alérgico	brazil	a l ɛ x ʒ i k u
alérgico	portugal	ɐ l ɛ ɾ ʒ i k u
alêm	portugal	ɐ l ẽ j̃ ẽ j̃
alêra	portugal	ɐ l e ɾ ɐ
alêutica	portugal	ɐ l e u t i k ɐ
alí	portugal	ɐ l i
alícia	brazil	a ʎ i s j ɐ
alícia	portugal	ɐ l i s j ɐ
alínea	portugal	ɐ l i n j ɐ
alíquota	brazil	a ʎ i k w ɔ t ɐ
alíquota	portugal	ɐ l i k ɔ t ɐ
alíquotas	brazil	a ʎ i k w u t ɐ s
alíquotas	portugal	ɐ l i k ɔ t ɐ ʃ
alísios	portugal	ɐ l i z j u ʃ
alívio	brazil	a ʎ i v i u
alívio	brazil	a ʎ i v j u
alívio	portugal	ɐ l i v i u
alívio	portugal	ɐ l i v j u
alô	brazil	a l o
alô	portugal	ɐ l o
alões	portugal	ɐ l õ j̃ ʃ
am	brazil+portugal	ɐ̃ w̃
ama	brazil+portugal	ɐ m ɐ
amaaonas	portugal	ɐ m ɐ o n ɐ ʃ
amabilidade	portugal	a m a b i l i d a dʒ i
amabilidades	portugal	a m a b i l i d a dʒ i s
amabilíssimo	portugal	a m a b i l i s i m u
amaciado	portugal	ɐ m ɐ s i a d u
amaciando	portugal	ɐ m ɐ s j ɐ̃ d u
amaciante	brazil	a m a s i ɐ̃ tʃ i
amaciante	portugal	ɐ m ɐ s j ɐ̃ t ɨ
amaciar	portugal	ɐ m ɐ s i a ɾ
amaciava	portugal	ɐ m ɐ s i a v ɐ
amada	brazil	a m a d ɐ
amada	brazil	ɐ m a d ɐ
amada	portugal	ɐ m a ð ɐ
amadas	brazil	a m a d ɐ s
amadas	portugal	ɐ m a d ɐ ʃ
amadeu	brazil	a m a d e w
amadeu	portugal	ɐ m ɐ ð e w
amadeus	brazil	a m a d e w s
amadeus	portugal	ɐ m ɐ ð e w ʃ
amado	portugal	ɐ m a ð u
amador	brazil	a m a d o x
amador	portugal	ɐ m ɐ ð o ɾ
amadora	portugal	ɐ m ɐ ð o ɾ ɐ
amadores	portugal	ɐ m ɐ ð o ɾ ɨ ʃ
amados	brazil	a m a d u s
amados	portugal	ɐ m a ð u ʃ
amadura	portugal	ɐ m ɐ ð u ɾ ɐ
amadurece	portugal	ɐ m a d u ɾ ɨ s ɨ
amadurecem	brazil	a m a d u ɾ e s ẽ j̃
amadurecem	portugal	ɐ m a d u ɾ ɨ s ɐ̃ j̃
amadurecendo	portugal	ɐ m a d u ɾ ɨ s ẽ d u
amadurecer	portugal	ɐ m a d u ɾ ɨ s e ɾ
amadureci	portugal	ɐ m a d u ɾ ɨ s i
amadurecida	portugal	ɐ m a d u ɾ ɨ s i ð ɐ
amadurecido	brazil	a m a d u ɾ e s i d u
amadurecido	portugal	ɐ m a d u ɾ ɨ s i ð u
amadurecidos	brazil	a m a d u ɾ e s i d u s
amadurecimento	portugal	ɐ m a d u ɾ ɨ s i m ẽ t u
amadureça	portugal	ɐ m a d u ʁ ɛ s ɐ
amaes	portugal	ɐ m a j s
amagestade	portugal	ɐ m a ʒ ɨ ʃ t a ð ɨ
amagonas	portugal	a m a ɣ u n ɐ ʃ
amai	brazil	a m a j
amai	portugal	ɐ m a j
amainar	portugal	ɐ m a j n a ɾ
amainou	portugal	ɐ m a j n o w
amais	portugal	a m a j ʃ
amal	portugal	a m a l
amaldiçoa	portugal	a m a l d i s o ɐ
amaldiçoada	portugal	a m a l d i s w a ð ɐ
amaldiçoado	portugal	a m a l d i s w a ð u
amaldiçoamos	portugal	a m a l d i s w a m u ʃ
amaldiçoando	portugal	a m a l d i s w ɐ̃ d u
amaldiçoar	brazil	a m a w dʒ i s o a ɾ
amaldiçoar	portugal	a m a l d i s w a ɾ
amaldiçoara	portugal	a m a l d i s w a ɾ ɐ
amaldiçoarem	portugal	a m a l d i s w a ɾ ɐ̃ j̃
amaldiçoava	portugal	a m a l d i s w a v ɐ
amaldiçoe	brazil	a m a w dʒ i s o i
